source,work_id,title,model,prompt,negative_prompt,steps,scale,sampler,width,height,image_url
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang wuthering waves,puppet master,lifeless eyes,iris fading,slightly open mouth,dark gothic background,cobwebs,gloomy lighting,shadowy atmosphere,despair,masterpiece,absurdres,upper body,black pantyhose,wrists tied by invisible wires,head hanging limply,standing",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p1.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text girl,yangyang_wuthering waves,lifeless eyes,iris fading,slightly open mouth,hands down,arms limp at sides,wariza,dirty face,dirty clothes,dirty skin,no hat,on the dark grass,dark enviorment,flame around",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p2.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang_wuthering waves,black hair,lifeless eyes,sitting on bed,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,no boots,arms stretched out sideways,huge breast,arms hanging loosely,upper body,dark room",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p3.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang_wuthering waves,black hair,lifeless eyes,sitting on bed,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,no boots,arms stretched out sideways,huge breast,arms hanging loosely,upper body,dark room,wrists tied by invisible wires",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p4.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang_wuthering waves,tongue out,playful face,upper body,dark room,playful smile,one hand is gropping her breast,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p5.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang_wuthering waves,tongue out,playful face,dark room,playful smile,one hand is gropping her breast,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,shaded face,creepy smile,sticking tongue out",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p6.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang_wuthering waves,tongue out,playful face,upper body,dark room,playful smile,one hand is gropping her breast,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p7.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang_wuthering waves,tongue out,playful face,dark room,playful smile,one hand is gropping her breast,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,shaded face,creepy smile,sticking tongue out,shiny pantyhose,shiny skin,toe seam",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p8.webp
aitag.win,147070750,梦寐以求的素材,NovelAI Diffusion V4.5 4BDE2A90,"masterpiece,best quality,very aesthetic,absurdres,highres,newest,anime coloring,beautiful eyes,beautiful fingers,five fingers,highly detailed face,highly detailed fingers,beautiful fingers,detailed hands,beautiful legs,highly detailed legs,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,taught clothes,wrinkled fabric,nimble fabric,artist:jacknife,artist:min_120716,artist:rurudo,artist:ru_zhai,artist:yoneyama_mai,wu_ganlan_cai,meion,rhasta,very aesthetic,masterpiece,no text solo,yangyang_wuthering waves,tongue out,playful face,dark room,playful smile,one hand is gropping her breast,fine fabric emphasis,detailed legwear,detailed fabric emphasis,fine fabric tension,fabric wrinkles,skin tight,no hat,taught clothes,wrinkled fabric,nimble fabric,shaded face,creepy smile,sticking tongue out,shiny pantyhose,shiny skin,toe seam",,,,,,,https://ai-img.10118899.xyz/NAI/72364984/147070750_p9.webp
aitag.win,146905143,my favorite maid,NovelAI Diffusion V4.5 1229B44F,"nsfw,uncensored,best quality,amazing quality,very aesthetic,absurdres,depth of field,volumetric lighting,detailed background,no text,best quality,very aesthetic,absurdres,very aesthetic,masterpiece,no text girl,lillia greyrat,completely nude,holding white towel,closed eyes,light smile,sitting,upper body,from above boy,rudeus greyrat,standing,^^^,white top,wide-eyed,embarrassed,peeking out,peeking,shota",,,,,,,https://ai-img.10118899.xyz/NAI/116457375/146905143_p0.webp
